Gene Name,Balaton consensus calls,,Carrel hybrids,Carrel SNPs,Cotton AI,Cotton DNAm,,Transcript Start,Transcript Stop,Transcript Type,CTAG gene,Expression in GM12878,Expression in IMR90,Expressed in Either Tissue,Domain categories,Results from other literature,Lister mCH,Sex differences in expression,Y homology,alternate gene names,Related Diseases,Comments
FANCB,S,,0,,S,all F S or S+U,,14861528,14891184,mRNA,No,0.2854756,0.69731295,Both,S,,S,,Y pseudogene,FLJ34064,"FANCB, Tracheoesophageal Fistula, VACTERLX",
MOSPD2,S,,0,,S,all F S or S+U,,14891526,14939459,mRNA,No,0.23429088,1.7756902,Both,S,,S,,,None,,
ASB9,S,,,,S,,,15262108,15288589,mRNA,No,0.005529982,0.02236745,Neither,S,,,,,,,
ASB11,VE,,0.33,,VE,,,15299830,15333746,mRNA,No,0.003778027,0,Neither,S,,,,Y pseudogene,None,,
PIGA,S,,0,S,S,all F S or S+U,,15337572,15353676,mRNA,No,1.2508748,1.5271512,Both,S,,S,,,EUROIMAGE 35971,"PNH, MCAHS2",
FIGF,S,,,,S,,,15363712,15402535,mRNA,No,0.013202077,0.03714729,Neither,S,,,,,,,
PIR-FIGF,No call,,,,,,,15363712,15509432,ncRNA,No,0.037372258,0.20341949,Fibroblast Only,Boundary,,,,,,,
PIR,Discordant,,1,VE,S,E or E+U and VE and U,,15402923,15511711,mRNA,No,0.047367223,0.2658485,Fibroblast Only,Boundary,S,,,,None,,
Mir_544,No call,,,,,,,15470854,15470959,miRNA,No,0,0,Neither,Boundary,,,,,,,
BMX,No call,,,,,,,15482368,15574652,mRNA,No,0.19230969,0.09125487,Lymphoblast only,Boundary,,,,,,,
ACE2,E,,,,E,,,15579155,15620192,mRNA,No,0.000669098,0,Neither,E,,,,Y pseudogene,,,
TMEM27,Discordant,,1,,VE,,,15645440,15683154,mRNA,No,0.007037824,0.0368739,Neither,E,,E,,Y pseudogene,NX17,,
CA5BP1,E,,,,E,all F E,,15693038,15721474,ncRNA,No,1.0322138,2.4443226,Both,E,,E,,,CA5BP,,
BC021816,No call,,,,,,,15719056,15721483,mRNA,No,2.8913534,11.837361,Both,E,,,,,,,
CA5B,Mostly E,,1,E,E,E or E+U and VE and U,,15756411,15805748,mRNA,No,0.26305658,0.51728696,Both,E,E,,Female Bias,,INE2,,
INE2,No call,,,,,,,15803838,15805712,ncRNA,No,0.67364687,2.7195892,Both,E,,,,,,,
ZRSR2,E,,,,E,all F E,,15808573,15841382,mRNA,No,1.157422,1.5808572,Both,E,,E,Female Bias,Y pseudogene,,,
AP1S2,Mostly E,,1,,VE,all F E,,15843928,15873100,mRNA,No,2.0057561,3.0085545,Both,E,,E,,,"SIGMA1B, Hs.121592, Hs.431654",MRXS5,
GRPR,Mostly VE,,0.66,S,VE,,,16141423,16171641,mRNA,No,0.03180268,1.0243863,Fibroblast Only,E,,,,,None,,
CTPS2,Mostly E,,1,,S,all F E or E+U,,16606121,16731059,mRNA,No,0.27479166,0.6097328,Both,E,,E,,,Hs.431102,,
S100G,E,,1,,,,,16668280,16672791,mRNA,No,0.036513872,0.039954744,Neither,E,,E,,,CALB3,,
SYAP1,E,,1,,E,all F E,,16737706,16780807,ncRNA,No,0.90801865,2.3368444,Both,E,,E,Female Bias,Y pseudogene,None,,
TXLNG,E,,1,,E,all F E,,16804554,16862642,mRNA,No,0.85164046,1.3242828,Both,E,S,E,Female Bias,Y homolog,"CXORF15, ELRG, FIAT, LSR5",,
AX746622,No call,,,,,,,16853680,16855808,ncRNA,No,0.7695412,1.088695,Both,E,,,,,,,
RBBP7,Mostly E,,1,,S,E or E+U and VE,,16862774,16888534,mRNA,No,4.0795226,3.8689013,Both,E,,E,,Y pseudogene,RbAp46,,
U4,No call,,,,,,,16893268,16893390,snrna,No,0,0,Neither,Boundary,,,,,,,
REPS2,Discordant,,0.22,,VE,,,16964813,17171403,mRNA,No,0.01258234,0.007479615,Neither,Boundary,,,,Y pseudogene,POB1,,
NHS,Mostly VE,,0.33,,VE,all F S,,17393542,17754113,mRNA,No,0.001294591,0.03606939,Neither,Boundary,,,,,None,"NHS, CTRCT40",
MIR4768,No call,,,,,,,17444003,17444077,miRNA,No,0,0,Neither,Boundary,,,,,,,
SCML1,S,,0,,S,all F S or S+U,,17755591,17773105,mRNA,No,0.12384906,3.8479815,Both,S,,S,,,None,,
RAI2,S,,0,,,all F S,,17818168,17879457,mRNA,No,0.001194689,0.007983685,Neither,S,,,,Y pseudogene,None,,
BEND2,VE,,,,VE,,,18181050,18239024,mRNA,No,0.002841753,0.000888441,Neither,S,,,,Y pseudogene,,,
SCML2,Mostly S,,0,,VE,all F S or S+U,,18257432,18372844,mRNA,No,0.017922897,0.145936,Fibroblast Only,S,,S,,Y pseudogene,Hs.220888,,
CDKL5,Mostly S,,0.22,,VE,S or S+U and VE and U,,18443724,18671749,mRNA,No,0.07706752,0.34707043,Fibroblast Only,S,,,,Y pseudogene,"STK9, Hs.435570, Hs.446513","AS, EIEE2, Angelman syndrome-like",
IRES_Cx43,No call,,,,,,,18552981,18553187,ncRNA,No,0,0,Neither,S,,,,,,,
RS1,Discordant,,0.22,,VE,,,18657807,18690223,mRNA,No,0.008752727,0.0079445,Neither,S,,,,,None,RS1,
TRNA_Val,Mostly S,,,,,S or S+U and VE,,18693028,18693101,tRNA,No,0.123686634,0,Lymphoblast only,S,,,,,,,
PPEF1,VE,,,,VE,,,18709044,18846034,mRNA,No,0.00641407,0.003759909,Neither,S,,,,,,,
LOC100132163,No call,,,,,,,18908413,18913093,ncRNA,No,2.897771,4.90756,Both,S,,,,,,,
PHKA2,Mostly S,,0.22,,S,S or S+U and VE and U,,18910415,19002480,mRNA,No,0.57213765,1.6350259,Both,S,,,,,None,GSD9A1,
GPR64,Mostly S,,0,,VE,too much U,,19007424,19140755,mRNA,No,0.019564329,0.10256508,Fibroblast Only,S,,,,,"Hs.149297, DKFZp686C0388, FLJ13808",,
PDHA1,S,,0,S,S,too much U,,19362010,19379825,mRNA,No,3.694826,5.5580897,Both,S,S,S,,,None,"PDHAD, X-linked Leigh syndrome",
MAP3K15,Mostly S,,,,VE,all F S,,19378175,19533379,mRNA,No,0.044111352,0.17290255,Fibroblast Only,S,,,,Y pseudogene,,,
SH3KBP1,Mostly S,,0.44,,S,all F S or S+U,,19552082,19905744,mRNA,No,0.91555804,0.28894916,Both,S,,,,,"CIN85, N53651",,
CXorf23,S,,0.11,,S,,,19930979,19988382,mRNA,No,0.3904821,0.5477885,Both,S,,,,,None,,
BC046187,No call,,,,,,,19931205,19934282,mRNA,No,1.1775546,2.2841964,Both,Boundary,,,,,,,
LOC729609,No call,,,,,,,20004934,20007897,ncRNA,No,0.080287814,0.069510624,Neither,Boundary,,,,,,,
MAP7D2,Discordant,,0,,VE,too much U,,20024830,20134756,mRNA,No,0.020815657,0.02038235,Neither,Boundary,,S,Female Bias,,FLJ14503,,
MIR23C,No call,,,,,,,20035205,20035305,miRNA,No,0,0,Neither,Boundary,,,,,,,
EIF1AX,E,,1,,,all F E or E+U,,20142635,20159966,mRNA,No,2.0732713,3.9019835,Both,E,,E,Female Bias,Y homolog,EIF4C,,
SCARNA9L,No call,,,,,,,20154183,20154531,ncRNA,No,2.5439045,2.213784,Both,Boundary,,,,,,,
RPS6KA3,S,,0,,S,all F S or S+U,,20168028,20285523,mRNA,No,0.69890904,1.397322,Both,S,,S,,Y pseudogene,None,"CLS, MRX19",
7SK,No call,,,,,,,20470225,20470549,snRNA,No,0,0,Neither,S,,,,,,,
Mir_544,No call,,,,,,,21273651,21273755,miRNA,No,0,0,Neither,S,,,,,,,
CNKSR2,Mostly S,,,,VE,all F S or S+U,,21392535,21672813,mRNA,No,0.0091437,0.010566878,Neither,S,,,,Y pseudogene,,,
JA611288,No call,,,,,,,21671685,21671755,ncRNA,No,0.12891284,1.0881839,Both,S,,,,,,,
KLHL34,No call,,,,,,,21673608,21676448,mRNA,No,0.006443373,0.018130016,Neither,S,,,,,,,
SMPX,S,,,,S,,,21724089,21776278,ncRNA,No,0.001753748,0.002960761,Neither,S,,,,Y pseudogene,,Hereditary hearing loss and deafness,
MBTPS2,S,,,,S,all F S or S+U,,21857655,21903541,mRNA,No,0.46235788,2.1113904,Both,S,S,S,,,,"IFAP syndrome with or without BRESHECK syndrome. KFSDX. OLMSTED SYNDROME, X-LINKED",
YY2,S,,0,,,,,21874104,21876845,mRNA,No,0.5507709,5.9265413,Both,S,,,,,MBTPS2,,
SMS,S,,0,,S,all F S or S+U,,21958714,22012955,mRNA,No,0.5748982,1.5240834,Both,S,,S,,,SpS,MRXSSR,
PHEX,VE,,0.33,,VE,,,22050920,22266478,mRNA,No,0.006411583,0.008602125,Neither,S,,S,,Y pseudogene,"PEX, FLJ37866",XLHR,
Mir_548,No call,,,,,,,22191615,22191699,miRNA,No,0,0,Neither,S,,,,,,,
ZNF645,No call,,,,,,,22291029,22292576,mRNA,yes,0.005912669,0,Neither,S,,,,,,,
DDX53,No call,,,,,,,23018077,23020206,mRNA,yes,0,0,Neither,S,,,,Y pseudogene,,,
PTCHD1,Discordant,,0.22,,E,,,23352984,23399551,mRNA,No,0.017296156,0.003318204,Neither,S,,,,Y pseudogene,Hs.444490,AUTS1,
PRDX4,S,,0,,S,all F S or S+U,,23685644,23704514,mRNA,No,1.654888,2.3855357,Both,S,,S,,,None,,
ACOT9,S,,0.22,S,S,all F S or S+U,,23721776,23761407,mRNA,No,0.3101591,2.2932165,Both,S,S,,,,"ACATE2, MT-ACT48",,
Y_RNA,No call,,,,,,,23800326,23800427,ncRNA,No,0,0,Neither,S,,,,,,,
SAT1,S,,0.11,,,too much U,,23801274,23804327,mRNA,No,19.468454,22.076998,Both,S,,E,,,SAT,KFSDX,
AK310094,S,,,,,all F S or S+U,,23801293,23801569,ncRNA,No,36.346905,23.057451,Both,S,,,,,,,
APOO,S,,0.11,,S,all F S or S+U,,23851464,23926057,mRNA,No,0.11030883,0.31832182,Both,S,,,,Y pseudogene,"AA601738, MGC4825",,
